gen,fit_mean,fit_max,fit_min,score_mean,coins_mean,lives_lost_mean,theta_fit,theta_score,wall_s
1,-133.54166666666666,-60.0,-216.66666666666666,122.70833333333333,8.347222222222221,2.5625,-126.66666666666667,140.0,359.0
2,-149.51388888888889,-96.66666666666667,-176.66666666666666,149.79166666666666,8.9375,2.9930555555555554,-160.0,140.0,360.1
3,-130.76388888888889,-53.333333333333336,-173.33333333333334,168.54166666666666,7.965277777777778,2.9930555555555554,-136.66666666666666,163.33333333333334,422.2
4,-116.66666666666667,-26.666666666666668,-166.66666666666666,170.13888888888889,7.777777777777778,2.8680555555555554,-120.0,180.0,538.8
