gen,fit_mean,fit_max,fit_min,score_mean,coins_mean,lives_lost_mean,theta_fit,theta_score,wall_s
1,-268.2291666666667,-120.0,-300.0,18.229166666666668,1.71875,2.8645833333333335,-170.0,30.0,178.8
2,-236.25,-95.0,-290.0,35.625,3.25,2.71875,-275.0,25.0,189.3
3,-175.3125,-5.0,-265.0,60.104166666666664,4.760416666666667,2.3541666666666665,-115.0,185.0,182.4
4,-156.45833333333334,-35.0,-285.0,93.54166666666667,6.75,2.5,-160.0,140.0,196.9
5,-111.14583333333333,40.0,-270.0,121.14583333333333,8.104166666666666,2.3229166666666665,-60.0,140.0,234.4
6,-100.3125,-60.0,-300.0,123.64583333333333,8.145833333333334,2.2395833333333335,-60.0,140.0,204.0
7,-113.75,-20.0,-255.0,124.79166666666667,8.572916666666666,2.3854166666666665,-85.0,115.0,206.1
8,-166.25,-65.0,-230.0,128.54166666666666,8.010416666666666,2.9479166666666665,-170.0,130.0,301.7
9,-122.29166666666667,-110.0,-175.0,139.16666666666666,9.020833333333334,2.6145833333333335,-110.0,140.0,336.8
10,-62.1875,35.0,-190.0,119.0625,8.885416666666666,1.8125,-85.0,115.0,238.5
11,-73.95833333333333,-20.0,-130.0,130.20833333333334,8.177083333333334,2.0416666666666665,-70.0,130.0,198.7
12,-98.02083333333333,-10.0,-165.0,114.47916666666667,8.166666666666666,2.125,-95.0,105.0,186.3
13,-85.41666666666667,-60.0,-215.0,136.45833333333334,8.802083333333334,2.21875,-60.0,140.0,207.2
14,-30.0,40.0,-270.0,136.66666666666666,8.5625,1.6666666666666667,-15.0,135.0,226.8
15,-78.4375,15.0,-165.0,118.4375,8.822916666666666,1.96875,-85.0,115.0,256.7
