gen,fit_mean,fit_max,fit_min,score_mean,coins_mean,lives_lost_mean,theta_fit,theta_score,wall_s
1,41.94444444444444,216.66666666666666,-76.66666666666667,332.22222222222223,17.041666666666668,2.9027777777777777,23.333333333333332,290.0,476.0
2,26.041666666666668,250.0,-70.0,323.9583333333333,16.354166666666668,2.9791666666666665,0.0,300.0,402.5
3,96.875,236.66666666666666,-96.66666666666667,388.5416666666667,16.42361111111111,2.9166666666666665,56.666666666666664,356.6666666666667,452.6
4,16.319444444444443,146.66666666666666,-210.0,314.2361111111111,15.3125,2.9791666666666665,50.0,350.0,408.6
5,24.375,230.0,-140.0,321.59722222222223,16.083333333333332,2.9722222222222223,86.66666666666667,386.6666666666667,441.7
6,44.65277777777777,176.66666666666666,-190.0,332.15277777777777,15.506944444444445,2.875,100.0,366.6666666666667,471.4
7,-46.319444444444436,206.66666666666666,-273.3333333333333,248.125,13.07638888888889,2.9444444444444446,93.33333333333333,393.3333333333333,428.1
8,49.02777777777777,193.33333333333334,-180.0,333.75,15.180555555555555,2.8472222222222223,40.0,340.0,475.7
9,-75.48611111111113,100.0,-230.0,214.09722222222223,11.0625,2.8958333333333335,-186.66666666666666,113.33333333333333,434.6
10,-6.666666666666669,140.0,-280.0,283.6111111111111,14.125,2.9027777777777777,-33.333333333333336,266.6666666666667,739.0
