gen,fit_mean,fit_max,theta_fit,theta_pac_score,theta_tags,best_fit,wall_s
1,-207.5,60.0,-305.0,305.0,0.0,70.0,877.4
2,-114.30555555555554,70.0,-63.333333333333336,123.33333333333333,2.0,70.0,673.0
3,-31.597222222222225,70.0,65.0,20.0,2.8333333333333335,70.0,423.6
4,41.319444444444436,73.33333333333333,65.0,20.0,2.8333333333333335,71.66666666666667,278.1
