gen,fit_mean,fit_max,fit_min,score_mean,coins_mean,lives_lost_mean,theta_fit,theta_score,wall_s
1,-268.2291666666667,-120.0,-300.0,18.229166666666668,1.71875,2.8645833333333335,-170.0,30.0,178.8
2,-236.25,-95.0,-290.0,35.625,3.25,2.71875,-275.0,25.0,189.3
3,-175.3125,-5.0,-265.0,60.104166666666664,4.760416666666667,2.3541666666666665,-115.0,185.0,182.4
4,-156.45833333333334,-35.0,-285.0,93.54166666666667,6.75,2.5,-160.0,140.0,196.9
