iteration,mean_reward
0,0.45497483015060425
1,-0.4119565188884735
2,-0.9008863568305969
3,-1.729243516921997
4,-2.5435829162597656
5,-3.158234119415283
6,-3.817291498184204
7,-4.348321914672852
8,-4.71461296081543
9,-5.44296407699585
10,-5.657666206359863
11,-5.8098015785217285
12,-6.216888904571533
13,-5.818780422210693
14,-4.645321846008301
15,-4.63209867477417
16,-3.40466046333313
17,-2.514575242996216
18,-2.4422671794891357
19,-1.3665215969085693
20,-0.23926353454589844
21,0.11778263002634048
22,1.4283562898635864
23,2.168985366821289
24,2.941777467727661
25,3.9009511470794678
26,4.693202018737793
27,5.808081150054932
28,6.605626583099365
29,7.133345603942871
30,7.621996879577637
31,8.66805648803711
32,9.16954517364502
33,9.039751052856445
34,10.934386253356934
35,11.873686790466309
36,11.250423431396484
37,11.869948387145996
38,13.049713134765625
39,12.292820930480957
40,13.577010154724121
41,14.035250663757324
42,14.079192161560059
43,15.317983627319336
44,15.609885215759277
45,16.186752319335938
46,15.028088569641113
47,16.810928344726562
48,18.375558853149414
49,18.056148529052734
50,17.285789489746094
51,18.97907257080078
52,19.976730346679688
53,21.38921356201172
54,20.13654327392578
55,17.840505599975586
56,21.39006805419922
57,19.74831771850586
58,21.19467544555664
59,21.00885009765625
60,19.358556747436523
61,20.717344284057617
62,20.824308395385742
63,20.505407333374023
64,20.832487106323242
65,23.170331954956055
66,23.573123931884766
67,21.383346557617188
68,23.080493927001953
69,23.374099731445312
70,22.959787368774414
71,21.789371490478516
72,22.689044952392578
73,22.365646362304688
74,24.864721298217773
75,24.019287109375
76,24.302814483642578
77,23.74651336669922
78,25.255022048950195
79,26.018714904785156
80,25.83408546447754
81,26.70386505126953
82,23.81905746459961
83,25.461238861083984
84,25.234655380249023
85,23.59662437438965
86,25.40245819091797
87,26.960351943969727
88,24.865446090698242
89,25.862533569335938
90,26.36090850830078
91,26.806034088134766
92,26.97018051147461
93,28.430034637451172
94,27.957685470581055
95,26.52020263671875
96,25.915626525878906
97,26.203407287597656
98,27.757604598999023
99,25.495054244995117
100,27.76239013671875
101,27.83099937438965
102,23.967275619506836
103,27.661521911621094
104,29.257726669311523
105,27.6464786529541
106,26.590524673461914
107,25.102867126464844
108,26.792388916015625
109,26.92177963256836
110,28.60643196105957
111,28.776840209960938
112,27.173677444458008
113,29.157634735107422
114,25.81220054626465
115,26.935789108276367
116,28.337034225463867
117,29.227067947387695
118,26.863492965698242
119,27.44917106628418
120,25.124526977539062
121,27.586729049682617
122,25.28191566467285
123,28.88640022277832
124,27.976152420043945
125,26.57408905029297
126,30.21341896057129
127,27.429704666137695
128,28.111976623535156
129,27.994497299194336
130,27.18451690673828
131,29.300928115844727
132,27.569974899291992
133,30.229806900024414
134,26.282556533813477
135,25.64452362060547
136,29.966115951538086
137,28.437681198120117
138,31.332082748413086
139,26.356231689453125
140,30.58173942565918
141,25.17569351196289
142,28.52837562561035
143,28.03441047668457
144,28.976144790649414
145,29.90955352783203
146,28.90555191040039
147,28.828937530517578
148,29.990379333496094
149,28.946884155273438
150,32.25876998901367
151,30.357315063476562
152,30.554018020629883
153,29.772525787353516
154,28.793848037719727
155,26.242456436157227
156,28.399335861206055
157,30.082279205322266
158,29.87983512878418
159,29.655418395996094
160,26.761850357055664
161,29.740026473999023
162,29.35773277282715
163,28.79780387878418
164,31.148954391479492
165,31.43032455444336
166,27.456384658813477
167,28.257972717285156
168,30.851608276367188
169,30.976158142089844
170,30.04364013671875
171,28.583162307739258
172,28.315526962280273
173,32.39568328857422
174,27.331974029541016
175,27.389657974243164
176,31.708681106567383
177,30.2935733795166
178,28.433467864990234
179,33.166648864746094
180,28.137916564941406
181,31.24123764038086
182,32.683937072753906
183,30.037349700927734
184,34.83051300048828
185,27.812255859375
186,32.03849792480469
187,29.509666442871094
188,29.62837028503418
189,30.556392669677734
190,30.7586669921875
191,31.865814208984375
192,31.911029815673828
193,30.052026748657227
194,31.34659194946289
195,33.54472732543945
196,32.389122009277344
197,29.279285430908203
198,31.133811950683594
199,31.690807342529297
200,31.2352294921875
201,31.074493408203125
202,29.706968307495117
203,29.97602653503418
204,31.670482635498047
205,32.99196243286133
